experiment,model,model_clean,category,subject,accuracy,f1_macro
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s29,0.30755176613885504,0.27756641429167783
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s14,0.36541889483065954,0.3467942618943876
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s37,0.1684081130915796,0.11239957574451079
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s4,0.3933253873659118,0.39473143938983807
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s13,0.3985722784057109,0.3753738176927123
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s15,0.2851190476190476,0.28517036450895594
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s2,0.30929678188319426,0.260992973626754
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s27,0.4415347137637028,0.44436571423715066
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s28,0.4627594627594628,0.4498566571525099
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s39,0.35365853658536583,0.3351512826250676
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s40,0.3508879363135334,0.3185499974691729
exp1_deep_raw_multiscale_cnn_loso_isolated_v2,multiscale_cnn,Multiscale CNN,Raw CNN/LSTM,DB2_s12,0.28240190249702735,0.2888950837876635
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s38,0.3685173886516168,0.3433823801702372
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s5,0.38832638475282905,0.3865015197388262
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s30,0.5366889023650697,0.5173134913561895
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s11,0.3904761904761905,0.3558344099677318
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s36,0.42603911980440096,0.42028320997453905
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s1,0.40665873959571935,0.36477094277339234
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s26,0.2923076923076923,0.27620980049365895
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s3,0.2262686567164179,0.20071073899235858
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s29,0.2801461632155907,0.26744933536181587
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s14,0.32382650029708854,0.29814884621993165
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s37,0.1505838967424708,0.08975602662424813
